PlayerID,Season,Name,Alley Oop Dunk Shot_FGM,Alley Oop Dunk Shot_FGA,Alley Oop Dunk Shot_FG_PCT,Alley Oop Layup shot_FGM,Alley Oop Layup shot_FGA,Alley Oop Layup shot_FG_PCT,Cutting Dunk Shot_FGM,Cutting Dunk Shot_FGA,Cutting Dunk Shot_FG_PCT,Cutting Finger Roll Layup Shot_FGM,Cutting Finger Roll Layup Shot_FGA,Cutting Finger Roll Layup Shot_FG_PCT,Cutting Layup Shot_FGM,Cutting Layup Shot_FGA,Cutting Layup Shot_FG_PCT,Driving Bank Hook Shot_FGM,Driving Bank Hook Shot_FGA,Driving Bank Hook Shot_FG_PCT,Driving Dunk Shot_FGM,Driving Dunk Shot_FGA,Driving Dunk Shot_FG_PCT,Driving Finger Roll Layup Shot_FGM,Driving Finger Roll Layup Shot_FGA,Driving Finger Roll Layup Shot_FG_PCT,Driving Floating Bank Jump Shot_FGM,Driving Floating Bank Jump Shot_FGA,Driving Floating Bank Jump Shot_FG_PCT,Driving Floating Jump Shot_FGM,Driving Floating Jump Shot_FGA,Driving Floating Jump Shot_FG_PCT,Driving Hook Shot_FGM,Driving Hook Shot_FGA,Driving Hook Shot_FG_PCT,Driving Layup Shot_FGM,Driving Layup Shot_FGA,Driving Layup Shot_FG_PCT,Driving Reverse Dunk Shot_FGM,Driving Reverse Dunk Shot_FGA,Driving Reverse Dunk Shot_FG_PCT,Driving Reverse Layup Shot_FGM,Driving Reverse Layup Shot_FGA,Driving Reverse Layup Shot_FG_PCT,Dunk Shot_FGM,Dunk Shot_FGA,Dunk Shot_FG_PCT,Fadeaway Bank shot_FGM,Fadeaway Bank shot_FGA,Fadeaway Bank shot_FG_PCT,Fadeaway Jump Shot_FGM,Fadeaway Jump Shot_FGA,Fadeaway Jump Shot_FG_PCT,Finger Roll Layup Shot_FGM,Finger Roll Layup Shot_FGA,Finger Roll Layup Shot_FG_PCT,Floating Jump shot_FGM,Floating Jump shot_FGA,Floating Jump shot_FG_PCT,Hook Bank Shot_FGM,Hook Bank Shot_FGA,Hook Bank Shot_FG_PCT,Hook Shot_FGM,Hook Shot_FGA,Hook Shot_FG_PCT,Jump Bank Shot_FGM,Jump Bank Shot_FGA,Jump Bank Shot_FG_PCT,Jump Shot_FGM,Jump Shot_FGA,Jump Shot_FG_PCT,Layup Shot_FGM,Layup Shot_FGA,Layup Shot_FG_PCT,Pullup Jump shot_FGM,Pullup Jump shot_FGA,Pullup Jump shot_FG_PCT,Putback Dunk Shot_FGM,Putback Dunk Shot_FGA,Putback Dunk Shot_FG_PCT,Putback Layup Shot_FGM,Putback Layup Shot_FGA,Putback Layup Shot_FG_PCT,Reverse Dunk Shot_FGM,Reverse Dunk Shot_FGA,Reverse Dunk Shot_FG_PCT,Reverse Layup Shot_FGM,Reverse Layup Shot_FGA,Reverse Layup Shot_FG_PCT,Running Alley Oop Dunk Shot_FGM,Running Alley Oop Dunk Shot_FGA,Running Alley Oop Dunk Shot_FG_PCT,Running Alley Oop Layup Shot_FGM,Running Alley Oop Layup Shot_FGA,Running Alley Oop Layup Shot_FG_PCT,Running Dunk Shot_FGM,Running Dunk Shot_FGA,Running Dunk Shot_FG_PCT,Running Finger Roll Layup Shot_FGM,Running Finger Roll Layup Shot_FGA,Running Finger Roll Layup Shot_FG_PCT,Running Jump Shot_FGM,Running Jump Shot_FGA,Running Jump Shot_FG_PCT,Running Layup Shot_FGM,Running Layup Shot_FGA,Running Layup Shot_FG_PCT,Running Pull-Up Jump Shot_FGM,Running Pull-Up Jump Shot_FGA,Running Pull-Up Jump Shot_FG_PCT,Running Reverse Dunk Shot_FGM,Running Reverse Dunk Shot_FGA,Running Reverse Dunk Shot_FG_PCT,Running Reverse Layup Shot_FGM,Running Reverse Layup Shot_FGA,Running Reverse Layup Shot_FG_PCT,Step Back Bank Jump Shot_FGM,Step Back Bank Jump Shot_FGA,Step Back Bank Jump Shot_FG_PCT,Step Back Jump shot_FGM,Step Back Jump shot_FGA,Step Back Jump shot_FG_PCT,Tip Dunk Shot_FGM,Tip Dunk Shot_FGA,Tip Dunk Shot_FG_PCT,Tip Layup Shot_FGM,Tip Layup Shot_FGA,Tip Layup Shot_FG_PCT,Turnaround Bank Hook Shot_FGM,Turnaround Bank Hook Shot_FGA,Turnaround Bank Hook Shot_FG_PCT,Turnaround Bank shot_FGM,Turnaround Bank shot_FGA,Turnaround Bank shot_FG_PCT,Turnaround Fadeaway Bank Jump Shot_FGM,Turnaround Fadeaway Bank Jump Shot_FGA,Turnaround Fadeaway Bank Jump Shot_FG_PCT,Turnaround Fadeaway shot_FGM,Turnaround Fadeaway shot_FGA,Turnaround Fadeaway shot_FG_PCT,Turnaround Hook Shot_FGM,Turnaround Hook Shot_FGA,Turnaround Hook Shot_FG_PCT,Turnaround Jump Shot_FGM,Turnaround Jump Shot_FGA,Turnaround Jump Shot_FG_PCT
201988,2024-25,Patty Mills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,0.4,1.0,1.0,1.0,8.0,19.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,0.25,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5
202066,2024-25,Garrett Temple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,,,,2.0,3.0,0.667,0.0,0.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.217,1.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,,,,0.0,3.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202331,2024-25,Paul George,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,4.0,7.0,0.571,4.0,5.0,0.8,6.0,17.0,0.353,1.0,1.0,1.0,32.0,54.0,0.593,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,142.0,0.387,1.0,1.0,1.0,55.0,139.0,0.396,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,8.0,0.25,7.0,14.0,0.5,3.0,11.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,84.0,0.405,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,0.538,2.0,2.0,1.0,1.0,11.0,0.091
202681,2024-25,Kyrie Irving,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,11.0,13.0,0.846,1.0,2.0,0.5,0.0,0.0,0.0,35.0,49.0,0.714,9.0,22.0,0.409,36.0,81.0,0.444,0.0,1.0,0.0,48.0,93.0,0.516,,,,4.0,8.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,7.0,26.0,0.269,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,0.4,82.0,183.0,0.448,3.0,8.0,0.375,90.0,201.0,0.448,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,14.0,0.643,11.0,26.0,0.423,17.0,33.0,0.515,11.0,40.0,0.275,,,,2.0,2.0,1.0,1.0,1.0,1.0,26.0,70.0,0.371,0.0,0.0,0.0,6.0,8.0,0.75,0.0,1.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,9.0,17.0,0.529,1.0,1.0,1.0,7.0,12.0,0.583
202684,2024-25,Tristan Thompson,0.0,0.0,0.0,,,,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.143,2.0,6.0,0.333,1.0,5.0,0.2,,,,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,5.0,0.4,1.0,1.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,0.273,2.0,2.0,1.0,,,,,,,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0
202685,2024-25,Jonas Valanciunas,0.0,0.0,0.0,1.0,1.0,1.0,14.0,15.0,0.933,0.0,0.0,0.0,21.0,31.0,0.677,3.0,7.0,0.429,4.0,5.0,0.8,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,0.429,18.0,31.0,0.581,24.0,30.0,0.8,1.0,1.0,1.0,7.0,7.0,1.0,11.0,12.0,0.917,0.0,0.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,10.0,24.0,0.417,2.0,2.0,1.0,20.0,32.0,0.625,3.0,6.0,0.5,57.0,145.0,0.393,16.0,28.0,0.571,3.0,5.0,0.6,6.0,6.0,1.0,30.0,45.0,0.667,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,33.0,75.0,0.44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,32.0,0.469,20.0,35.0,0.571,9.0,23.0,0.391
202691,2024-25,Klay Thompson,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,8.0,15.0,0.533,1.0,1.0,1.0,0.0,0.0,0.0,6.0,10.0,0.6,5.0,13.0,0.385,6.0,22.0,0.273,0.0,0.0,0.0,18.0,28.0,0.643,,,,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,12.0,37.0,0.324,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,154.0,380.0,0.405,0.0,2.0,0.0,63.0,160.0,0.394,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,8.0,0.75,28.0,63.0,0.444,4.0,7.0,0.571,3.0,22.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24.0,58.0,0.414,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,16.0,0.375,0.0,0.0,0.0,2.0,7.0,0.286
202692,2024-25,Alec Burks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.556,0.0,1.0,0.0,4.0,9.0,0.444,0.0,0.0,0.0,4.0,14.0,0.286,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,146.0,0.425,0.0,0.0,0.0,19.0,39.0,0.487,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,22.0,0.455,0.0,3.0,0.0,1.0,3.0,0.333,,,,0.0,0.0,0.0,,,,3.0,9.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0
202693,2024-25,Markieff Morris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,0.333,0.0,0.0,0.0,2.0,12.0,0.167,,,,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667
202695,2024-25,Kawhi Leonard,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,6.0,7.0,0.857,0.0,0.0,0.0,7.0,7.0,1.0,6.0,8.0,0.75,2.0,5.0,0.4,20.0,44.0,0.455,9.0,17.0,0.529,15.0,26.0,0.577,0.0,0.0,0.0,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,19.0,40.0,0.475,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,126.0,0.452,4.0,6.0,0.667,51.0,119.0,0.429,1.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,19.0,21.0,0.905,4.0,4.0,1.0,5.0,13.0,0.385,10.0,17.0,0.588,11.0,18.0,0.611,,,,1.0,2.0,0.5,0.0,0.0,0.0,16.0,61.0,0.262,0.0,1.0,0.0,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,0.649,1.0,2.0,0.5,1.0,7.0,0.143
202696,2024-25,Nikola Vucevic,0.0,0.0,0.0,1.0,3.0,0.333,4.0,4.0,1.0,7.0,8.0,0.875,28.0,37.0,0.757,0.0,1.0,0.0,2.0,3.0,0.667,6.0,13.0,0.462,1.0,3.0,0.333,22.0,35.0,0.629,13.0,29.0,0.448,22.0,43.0,0.512,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,11.0,0.364,2.0,2.0,1.0,80.0,110.0,0.727,1.0,1.0,1.0,29.0,47.0,0.617,0.0,0.0,0.0,151.0,368.0,0.41,19.0,24.0,0.792,8.0,15.0,0.533,0.0,0.0,0.0,18.0,27.0,0.667,1.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.35,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,0.667,31.0,58.0,0.534,5.0,8.0,0.625,0.0,1.0,0.0,0.0,1.0,0.0,11.0,32.0,0.344,53.0,99.0,0.535,12.0,16.0,0.75
202699,2024-25,Tobias Harris,0.0,0.0,0.0,1.0,2.0,0.5,15.0,17.0,0.882,1.0,1.0,1.0,8.0,16.0,0.5,0.0,0.0,0.0,7.0,9.0,0.778,4.0,5.0,0.8,4.0,10.0,0.4,19.0,35.0,0.543,2.0,4.0,0.5,29.0,58.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,0.0,11.0,31.0,0.355,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,232.0,0.384,5.0,11.0,0.455,42.0,108.0,0.389,3.0,3.0,1.0,5.0,7.0,0.714,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.667,26.0,26.0,1.0,2.0,4.0,0.5,6.0,23.0,0.261,18.0,34.0,0.529,3.0,6.0,0.5,,,,1.0,1.0,1.0,0.0,0.0,0.0,16.0,43.0,0.372,1.0,1.0,1.0,8.0,13.0,0.615,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,1.0,28.0,45.0,0.622,0.0,2.0,0.0,18.0,37.0,0.486
202704,2024-25,Reggie Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.75,1.0,3.0,0.333,6.0,16.0,0.375,0.0,1.0,0.0,3.0,4.0,0.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,49.0,0.327,0.0,0.0,0.0,8.0,23.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202709,2024-25,Cory Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,5.0,0.2,3.0,5.0,0.6,0.0,0.0,0.0,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,89.0,0.36,0.0,1.0,0.0,9.0,23.0,0.391,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202710,2024-25,Jimmy Butler,5.0,5.0,1.0,4.0,11.0,0.364,21.0,22.0,0.955,1.0,1.0,1.0,22.0,36.0,0.611,0.0,0.0,0.0,4.0,4.0,1.0,7.0,11.0,0.636,7.0,13.0,0.538,13.0,38.0,0.342,0.0,2.0,0.0,39.0,76.0,0.513,0.0,0.0,0.0,6.0,10.0,0.6,3.0,3.0,1.0,0.0,1.0,0.0,4.0,21.0,0.19,0.0,0.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,36.0,98.0,0.367,7.0,18.0,0.389,17.0,44.0,0.386,0.0,0.0,0.0,7.0,13.0,0.538,0.0,0.0,0.0,1.0,4.0,0.25,2.0,2.0,1.0,3.0,3.0,1.0,15.0,17.0,0.882,4.0,4.0,1.0,1.0,3.0,0.333,26.0,39.0,0.667,0.0,2.0,0.0,,,,1.0,1.0,1.0,0.0,1.0,0.0,4.0,12.0,0.333,2.0,2.0,1.0,15.0,26.0,0.577,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,10.0,25.0,0.4,0.0,2.0,0.0,7.0,11.0,0.636
202711,2024-25,Bojan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203076,2024-25,Anthony Davis,21.0,21.0,1.0,9.0,14.0,0.643,14.0,14.0,1.0,3.0,5.0,0.6,26.0,37.0,0.703,2.0,2.0,1.0,5.0,5.0,1.0,5.0,7.0,0.714,4.0,10.0,0.4,31.0,68.0,0.456,5.0,13.0,0.385,33.0,68.0,0.485,0.0,0.0,0.0,5.0,10.0,0.5,15.0,16.0,0.938,0.0,1.0,0.0,11.0,26.0,0.423,1.0,2.0,0.5,22.0,47.0,0.468,1.0,2.0,0.5,5.0,12.0,0.417,0.0,1.0,0.0,65.0,184.0,0.353,16.0,25.0,0.64,31.0,60.0,0.517,6.0,6.0,1.0,20.0,29.0,0.69,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.5,14.0,16.0,0.875,2.0,2.0,1.0,0.0,0.0,0.0,15.0,21.0,0.714,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,10.0,34.0,0.294,7.0,8.0,0.875,23.0,42.0,0.548,0.0,2.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,12.0,41.0,0.293,14.0,21.0,0.667,8.0,25.0,0.32
203078,2024-25,Bradley Beal,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.857,3.0,3.0,1.0,9.0,13.0,0.692,0.0,0.0,0.0,4.0,4.0,1.0,15.0,21.0,0.714,3.0,15.0,0.2,23.0,43.0,0.535,1.0,1.0,1.0,47.0,80.0,0.588,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,7.0,13.0,0.538,0.0,0.0,0.0,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,77.0,189.0,0.407,4.0,5.0,0.8,54.0,131.0,0.412,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,0.5,9.0,17.0,0.529,13.0,18.0,0.722,4.0,13.0,0.308,,,,1.0,1.0,1.0,1.0,1.0,1.0,29.0,63.0,0.46,0.0,0.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,0.667,0.0,1.0,0.0,4.0,7.0,0.571
203081,2024-25,Damian Lillard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,5.0,5.0,1.0,37.0,62.0,0.597,8.0,16.0,0.5,26.0,57.0,0.456,0.0,0.0,0.0,57.0,104.0,0.548,0.0,0.0,0.0,17.0,26.0,0.654,0.0,0.0,0.0,1.0,1.0,1.0,11.0,25.0,0.44,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,190.0,0.421,0.0,0.0,0.0,69.0,182.0,0.379,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,10.0,25.0,0.4,6.0,15.0,0.4,11.0,32.0,0.344,,,,0.0,1.0,0.0,1.0,1.0,1.0,93.0,221.0,0.421,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,3.0,0.0
203083,2024-25,Andre Drummond,9.0,9.0,1.0,2.0,4.0,0.5,7.0,9.0,0.778,1.0,2.0,0.5,8.0,11.0,0.727,1.0,1.0,1.0,4.0,5.0,0.8,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,0.0,2.0,3.0,0.667,12.0,25.0,0.48,,,,1.0,3.0,0.333,7.0,8.0,0.875,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,9.0,15.0,0.6,0.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,3.0,19.0,0.158,7.0,21.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,9.0,21.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,11.0,27.0,0.407,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.25,1.0,3.0,0.333
203084,2024-25,Harrison Barnes,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,4.0,1.0,11.0,15.0,0.733,0.0,0.0,0.0,11.0,11.0,1.0,4.0,7.0,0.571,7.0,14.0,0.5,11.0,27.0,0.407,2.0,4.0,0.5,39.0,68.0,0.574,0.0,0.0,0.0,19.0,34.0,0.559,2.0,2.0,1.0,1.0,1.0,1.0,8.0,14.0,0.571,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,127.0,285.0,0.446,5.0,13.0,0.385,8.0,23.0,0.348,2.0,2.0,1.0,7.0,12.0,0.583,0.0,0.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,2.0,0.5,12.0,30.0,0.4,10.0,16.0,0.625,0.0,4.0,0.0,,,,4.0,6.0,0.667,0.0,0.0,0.0,12.0,30.0,0.4,1.0,1.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,11.0,0.364,0.0,0.0,0.0,5.0,9.0,0.556
